system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71910301999194EDC00,2.25,"{shadow_count=19572.0, cloud_count=84505.0, water_count=24701.0, snow_count=0.0, lake_SR={blue=0.06021168778591882, green=0.05540065989231176, red=0.036594384842718805, nir=0.04439552649690275, swir1=0.028158600866361613, swir2=0.02083637099712467}}",0.302,109651.0,1999-07-13T09:45:46,194.40678943287037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",28.309612274169922,"{lake_TIR=null, lake_BT=null, bkgd_BT=25.988433020802898, bkgd_TIR=9.258294957416442}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926, tir2=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LE71910301999210NSG00,2.9600006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.321,116610.0,1999-07-29T09:45:51,210.40684694444445,28361.0,"{blue=63.36158803798791, green=37.66879977775282, red=18.107577934230164, nir=8.442707975117706, swir1=0.551153178048745, swir2=0.11891731684329013, tir1=8.159154927153187, tir2=8.165835636317098}",30.928848266601562,"{lake_TIR=8.159154927153187, lake_BT=17.569989471634614, bkgd_BT=23.936729686183895, bkgd_TIR=8.98530290452167}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926, tir2=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LE71910301999226FUI00,2.2199996948242187,"{shadow_count=3926.0, cloud_count=5183.0, water_count=125840.0, snow_count=0.0, lake_SR={blue=0.0379169636045778, green=0.026781801493960797, red=0.006701946916719549, nir=0.006900897171011217, swir1=0.0016550723140495226, swir2=0.0016741282581056046}}",0.308,61757.0,1999-08-14T09:45:51,226.40684333333334,122656.0,"{blue=52.09466572784465, green=29.43682492330297, red=12.717202393505737, nir=5.425140586062321, swir1=0.26478466636421316, swir2=0.05571455267767507, tir1=8.624415968014974, tir2=8.618145104678597}",34.4581413269043,"{lake_TIR=8.624415968014974, lake_BT=21.22011200964311, bkgd_BT=28.62839089241228, bkgd_TIR=9.6196442930781}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926, tir2=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LE71910301999242NSG00,2.070001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.317,66973.0,1999-08-30T09:45:56,242.40689815972223,65402.0,"{blue=47.04736207607, green=25.721577320568116, red=11.94191767350566, nir=5.27566311255857, swir1=0.32748041847778103, swir2=0.07577121315789928, tir1=8.3778731072054, tir2=8.382140438440087}",38.78126907348633,"{lake_TIR=8.3778731072054, lake_BT=19.29961284885807, bkgd_BT=21.167347823806168, bkgd_TIR=8.619930532420643}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926, tir2=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LE71910301999258FUI00,1.829998779296875,"{shadow_count=0.0, cloud_count=191926.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.292,191926.0,1999-09-15T09:45:48,258.40680641203704,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",43.76177215576172,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926, tir2=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LE71910301999274AGS01,1.629998779296875,"{shadow_count=12242.0, cloud_count=43467.0, water_count=102140.0, snow_count=0.0, lake_SR={blue=0.03724963187781511, green=0.02534112786371641, red=0.006290185040140917, nir=0.007168098688074807, swir1=0.003790364205992092, swir2=0.0036018817309578137}}",0.303,74618.0,1999-10-01T09:46:00,274.40694935185184,103694.0,"{blue=42.71801593682275, green=23.661571546296024, red=10.311901313082693, nir=4.394446340762981, swir1=0.2802625656684636, swir2=0.06923312010834479, tir1=8.302928341020877, tir2=8.307085153585891}",49.16856384277344,"{lake_TIR=8.302928341020877, lake_BT=18.70985493295864, bkgd_BT=20.767624118995172, bkgd_TIR=8.568053009907253}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926, tir2=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LE71910301999290FUI00,1.579998779296875,"{shadow_count=18280.0, cloud_count=61907.0, water_count=58451.0, snow_count=0.0, lake_SR={blue=0.04297131443431244, green=0.030609960479718527, red=0.01662601495269527, nir=0.02327802946057423, swir1=0.014296520162188332, swir2=0.012440486903561589}}",0.267,104378.0,1999-10-17T09:45:55,290.4068903587963,8100.0,"{blue=40.31818807610759, green=22.652254139736847, red=11.224313612219728, nir=5.281233517328898, swir1=0.3888304427413293, swir2=0.09225512002077367, tir1=7.82179405014732, tir2=7.818410715202306}",54.677791595458984,"{lake_TIR=7.82179405014732, lake_BT=14.848649013189622, bkgd_BT=15.038794948459644, bkgd_TIR=7.847957438046377}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926, tir2=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LE71910301999306FUI00,1.529998779296875,"{shadow_count=13401.0, cloud_count=143870.0, water_count=2072.0, snow_count=0.0, lake_SR={blue=0.07161558880308844, green=0.055968291505791475, red=0.03908325289575288, nir=0.04752591698841689, swir1=0.02936674710424708, swir2=0.0211146718146718}}",0.257,185062.0,1999-11-02T09:45:51,306.4068461574074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",59.88960075378418,"{lake_TIR=null, lake_BT=null, bkgd_BT=15.943455957438474, bkgd_TIR=7.956877470495826}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926, tir2=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LE71910301999322SGS00,0.4399993896484375,"{shadow_count=36181.0, cloud_count=0.0, water_count=93491.0, snow_count=4.0, lake_SR={blue=0.02953979955289848, green=0.01406643527184328, red=0.004317336428105382, nir=0.007183148110512719, swir1=0.0012027970606799138, swir2=0.001073266945481229}}",0.29036874999999995,63391.0,1999-11-18T09:45:50,322.40683925925924,123888.0,"{blue=30.030312982110356, green=15.807826796983193, red=7.161820278270261, nir=2.915162677731715, swir1=0.09691535994753551, swir2=0.018612142815011064, tir1=7.454770454701123, tir2=7.453933216357687}",64.33984375,"{lake_TIR=7.455091910952326, lake_BT=11.814640343788522, bkgd_BT=6.214811801252694, bkgd_TIR=6.805728858267439}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926, tir2=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LE71910301999338NSG00,1.05,"{shadow_count=0.0, cloud_count=191926.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.269,191926.0,1999-12-04T09:45:49,338.4068269212963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",67.56181716918945,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926, tir2=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
LE71910302000005NSG00,0.720001220703125,"{shadow_count=37458.0, cloud_count=5158.0, water_count=95381.0, snow_count=1416.0, lake_SR={blue=0.04280405007286667, green=0.027142111112279394, red=0.0149727021104811, nir=0.020491209989407178, swir1=0.014849712206837265, swir2=0.012544788794410185}}",0.306,61402.0,2000-01-05T09:45:48,5.406814490740741,16042.0,"{blue=30.210932899823348, green=16.47708358089238, red=8.71408358055403, nir=3.8141801849949495, swir1=0.3016791998431609, swir2=0.07145505404688966, tir1=6.734493284490995, tir2=6.725904830788462}",68.96372985839844,"{lake_TIR=6.734493284490995, lake_BT=5.592749751278505, bkgd_BT=4.266278411060844, bkgd_TIR=6.586794066226341}","{blue=191926, green=191926, red=191926, nir=191926, swir1=191926, swir2=191926, tir1=191926, tir2=191926}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[11.854367,42.65478099999999],[11.856067000000001,42.529023],[12.005995999999996,42.530253],[12.005249999999997,42.656206],[11.854367,42.65478099999999]]]}"
