year,month,day,hour,minute,timestamp,satellite,fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size
1984,10,21,15,17,467255854.255,L5,LT51120371984296HAJ00,-0.40821301615,-0.448799701921,-0.549719584348,0.118863602012,-0.346648839207,-0.40821301615,12.3492164234,13.9284516752,-1.57923525182,-1.53055695012,1.0
1985,11,25,15,15,501815751.497,L5,LT51120371985330HAJ00,0.035956398268,0.0402406608169,0.0437219976328,0.574717066307,0.177613096043,0.0437219976328,2.6517316741,1.61792487501,1.0338067991,0.905471241972,83.0
1986,8,24,15,8,525316128.288,L5,LT51120371986237HAJ00,0.069780917673,0.0762814600673,0.0748456618505,0.463187732918,0.085217854883,0.0762814600673,18.6875897215,16.628945499,2.05864422253,2.07394191727,12.0
1986,9,25,15,7,528080864.559,L5,LT51120371986269HAJ00,0.0625297947455,0.0657549158128,0.0610459626701,0.280815217651,0.0716137049899,0.0657549158128,19.3229334583,19.7982030681,-0.475269609754,-0.486441239759,9.0
1987,8,11,15,13,555729208.548,L5,LT51120371987224HAJ00,-0.0175548875556,-0.0144656399579,-0.0186135898716,0.29079415382,-0.286744998886,-0.0144656399579,19.2141165476,14.0688356275,5.14528092006,5.13924805393,84.0
1987,8,27,15,13,557111635.422,L5,LT51120371987240HAJ00,0.0752058147796,0.0807970277908,0.0758455160147,0.352401981281,0.0692007263641,0.0807970277908,20.6082056221,19.0409415065,1.56726411562,1.60759693042,10.0
1988,7,28,15,18,586142295.94,L5,LT51120371988211HAJ00,0.15847394766,0.16414431748,0.153845305884,0.258429029294,0.0627436377589,0.16414431748,21.237582431,16.3382848566,4.89929757441,4.98245926879,26.0
1988,11,1,15,18,594436688.517,L5,LT51120371988307HAJ00,0.084528639753,0.0919851128633,0.100000140816,0.586341847934,0.154714792764,0.100000140816,9.97210214476,10.6452605295,-0.67315838473,-0.636259871453,44.0
1989,4,10,15,16,608260600.172,L5,LT51120371989101HAJ00,0.0914409566999,0.0942627989732,0.0959885011495,0.563246666981,0.0473759293579,0.0959885011495,6.42563345884,8.60717181333,-2.1815383545,-2.0102945703,3.0
1989,8,16,15,14,619319649.407,L5,LT51120371989229HAJ00,0.0976966594642,0.103226400797,0.113511315991,0.608390120862,0.139322290374,0.113511315991,18.5504164183,16.0618606948,2.48855572347,2.49963748681,50.0
1989,10,3,15,13,623466790.517,L5,LT51120371989277HAJ00,0.0463822048248,0.0509916656849,0.0577347728694,0.598995328018,0.196633111735,0.0577347728694,9.47562457629,7.62799358974,1.84763098655,1.71882497542,10.0
1990,2,8,15,9,634525753.336,L5,LT51120371990040HAJ00,0.0560802812569,0.0589118037404,0.0613025972488,0.576300550437,0.0851891473804,0.0613025972488,8.15604823306,6.649908656,1.50613957706,1.38646338358,81.0
1990,3,12,15,8,637290489.68,L5,LT51120371990072HAJ00,0.0719671154518,0.0733075045827,0.0787661816424,0.633809479779,0.086319611397,0.0787661816424,1.94176031594,0.878705357798,1.06305495815,0.924559401187,20.0
1990,4,13,15,7,640055264.398,L5,LT51120371990104BJC00,0.0740672703704,0.0796343056654,0.0807061028033,0.526907269934,0.0822593608459,0.0807061028033,10.7894429701,11.6037387997,-0.814295829632,-0.775791420933,28.0
1990,6,16,15,7,645584860.989,L5,LT51120371990168BJC00,0.0356125428457,0.0423517232543,0.0388139531086,0.412507408637,0.159124113277,0.0423517232543,19.3823235959,20.8526783348,-1.47035473897,-1.51182982075,21.0
1990,8,3,15,7,649732051.586,L5,LT51120371990216HAJ01,0.022899882904,0.0285279428036,0.0311498879798,0.552968556828,0.264848627422,0.0311498879798,21.5524330883,19.7373791176,1.81505397062,1.8743306318,6.0
1990,8,19,15,7,651114448.471,L5,LT51120371990232HAJ00,0.0839807481151,0.0932683501787,0.0960906255756,0.538842608799,0.126025586658,0.0960906255756,13.7590777586,13.1166722807,0.642405477878,0.624231782874,2.0
1990,9,20,15,7,653879238.278,L5,LT51120371990264HAJ01,0.0650490674815,0.0698465155195,0.0705831689653,0.522185276987,0.0784053984098,0.0705831689653,19.2581078057,16.6097694411,2.64833836458,2.67418853858,46.0
1990,10,22,15,7,656644023.944,L5,LT51120371990296HAJ01,0.0451708647357,0.0512438135261,0.0575973715841,0.585215125692,0.215747811168,0.0575973715841,10.6627285841,12.932629239,-2.2699006549,-2.1741327622,60.0
1990,11,7,15,7,658026421.063,L5,LT51120371990312HAJ00,0.133316568848,0.146372789402,0.155004390466,0.5663321657,0.139917466548,0.155004390466,20.7683203735,10.8261952633,9.94212511023,9.85932548543,43.0
1991,5,2,15,9,673232986.089,L5,LT51120371991123BJC00,0.0939831973233,0.106619176023,0.113729540638,0.560014188466,0.173625455657,0.113729540638,8.03938485174,7.8690774345,0.170307417236,0.157571347641,19.0
1991,9,7,15,11,684292281.976,L5,LT51120371991251BJC00,0.0392971152648,0.0422858706114,0.0429548255817,0.530481499462,0.0851524890945,0.0429548255817,19.3783134923,16.8513941163,2.52691937608,2.5554490206,69.0
1992,4,2,15,11,702263495.249,L5,LT51120371992094BJC00,0.0431082825084,0.053450935428,0.0402497196207,0.297243691675,0.246978199756,0.053450935428,21.4430089923,15.2573106251,6.18569836723,6.26779507265,1.0
1992,9,25,15,9,717469763.939,L5,LT51120371992270BJC00,-0.0564393322475,-0.0506605441069,-0.0550881877288,0.372301841545,-0.114068813164,-0.0506605441069,13.2910509214,10.032608615,3.25844230639,3.11721347771,7.0
1992,10,27,15,8,720234533.901,L5,LT51120371992302HAJ00,0.0731376789047,0.0778942200938,0.0788712106901,0.528399906402,0.0726948621082,0.0788712106901,17.2670516087,14.56878314,2.69826846877,2.67859536277,35.0
1993,3,4,15,9,731293777.539,L5,LT51120371993064HAJ00,0.0313106106176,0.0310719346996,0.026695823736,0.15804669771,0.147387316651,0.0313106106176,5.42313941789,4.23470127668,1.18843814121,1.06805725488,37.0
1993,3,20,15,9,732676181.736,L5,LT51120371993080BJC00,0.0617474154567,0.0655593731029,0.0639022669203,0.427547892868,0.0581451204568,0.0655593731029,7.02266796441,6.72367995269,0.298988011725,0.273887049999,1.0
1993,8,27,15,9,746500193.504,L5,LT51120371993240BJC00,0.0251143060675,0.0315249012572,0.0278804772707,0.40524998385,0.203350206791,0.0315249012572,22.5638963384,22.4267771785,0.137119159892,0.143736823394,39.0
1993,10,14,15,9,750647383.142,L5,LT51120371993288HAJ00,0.16247944105,0.173639750416,0.165291801578,0.375332774319,0.0642727793542,0.173639750416,25.2889775481,17.1507239418,8.13825360632,8.44337114454,25.0
1993,11,15,15,9,753412167.849,L5,LT51120371993320HAJ00,0.0614224785749,0.0631613382359,0.0591887966259,0.239619947449,0.0628951463173,0.0631613382359,20.0144189921,11.5419224373,8.47249655479,8.40060780509,71.0
1994,3,23,15,8,764471281.068,L5,LT51120371994083HAJ00,0.092293699673,0.0993856224162,0.107335052689,0.588084166635,0.140134584548,0.107335052689,-1.41768362676,-4.35542385488,2.93774022812,2.4481282757,18.0
1994,7,13,15,5,774147942.906,L5,LT51120371994195HAJ01,0.117758736334,0.117586147437,0.0802945039638,0.165898872575,0.318143974168,0.117758736334,38.2897025797,34.1840854359,4.10561714371,4.77575183471,34.0
1994,8,30,15,4,778295067.56,L5,LT51120371994243HAJ00,0.0249665190781,0.0293068034729,0.0255269869066,0.354855265135,0.148098184736,0.0293068034729,24.4341718307,22.1053257931,2.32884603763,2.45642829213,56.0
1994,10,17,15,3,782442186.243,L5,LT51120371994291HAJ00,0.0607865147695,0.0631753675231,0.0637080686933,0.530389145877,0.0458584600622,0.0637080686933,15.4372018704,13.5052757361,1.93192613435,1.89418094716,17.0
1995,3,26,14,57,796265836.049,L5,LT51120371995086HAJ00,0.0831635177803,0.0881232388991,0.0874391577896,0.477012111061,0.0562816480735,0.0881232388991,8.13331357021,7.38328664927,0.750026920943,0.692691247884,38.0
1995,8,17,14,50,808707049.27,L5,LT51120371995230HAJ00,0.108436239708,0.116631208601,0.110410586876,0.373486977072,0.0702639455731,0.116631208601,19.233790757,19.4409199374,-0.207129180382,-0.211607488292,3.0
1995,10,20,14,47,814236455.212,L5,LT51120371995294CLT00,0.101779310282,0.105396360499,0.104145567533,0.442365883305,0.0343185495228,0.105396360499,17.9450094007,15.9198300073,2.02517939338,2.02779760369,23.0
1996,5,15,14,58,832208319.274,L5,LT51120371996137CLT00,0.0475376351424,0.0535872811936,0.0430844302679,0.262666728841,0.195995219233,0.0535872811936,26.1692201409,25.2831317426,0.886088398295,0.95294021161,1.0
1996,5,31,14,59,833590773.325,L5,LT51120371996153CLT00,0.0521866229179,0.0524535168396,0.0486785933888,0.178450301718,0.0719670229612,0.0524535168396,30.3197119277,23.2763257625,7.04338616521,7.63805062631,1.0
1996,9,20,15,5,843267933.62,L5,LT51120371996265CLT00,0.0541642977578,0.0561546370777,0.0270339889477,0.17805800722,0.518579580341,0.0561546370777,27.0099579274,22.0979770992,4.91198082815,5.23413199599,1.0
1996,11,23,15,8,848797723.913,L5,LT51120371996329CLT00,0.0763674502004,0.079834361564,0.0823447465555,0.569997783901,0.0725886787584,0.0823447465555,23.4828596547,10.2059180044,13.2769416504,13.2837784328,37.0
1997,3,31,15,14,859857260.254,L5,LT51120371997091HAJ00,0.0677539268488,0.0552378706369,-0.00283842914483,0.13711659231,1.04189320497,0.0677539268488,32.0651643825,16.9697903807,15.0953740018,16.0797807992,51.0
1997,5,18,15,16,864004560.593,L5,LT51120371997139BJC00,0.182304071829,0.179572102754,0.118398672826,0.159541632065,0.350542905386,0.182304071829,23.1822755344,18.1053860148,5.07688951956,5.24261667602,1.0
