year,month,day,hour,minute,timestamp,satellite,fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size
1984,6,14,14,29,456107362.741,L5,LT51050291984167HAJ00,0.0460274111177,0.0854433120542,0.0776954379632,0.467238796582,0.461310546009,0.0854433120542,14.3933337957,14.2677033503,0.125630445371,0.123026280827,882.0
1984,6,14,14,29,456107386.714,L5,LT51050301984167HAJ00,0.0451191339618,0.0838270639036,0.0759902296363,0.466256551396,0.461759342857,0.0838270639036,14.5653565607,14.4596404734,0.105716087345,0.103687646895,889.0
1984,8,1,14,30,460254624.671,L5,LT51050291984215HAJ00,-0.0314228744276,-0.0156782516638,-0.0103585451272,0.542090955921,-2.03352198998,-0.0103585451272,19.1952389818,21.7323254553,-2.53708647346,-2.61606373596,3158.0
1984,8,1,14,30,460254648.786,L5,LT51050301984215HAJ00,-0.0326213340125,-0.0173763461345,-0.0124767339844,0.54053701855,-1.61457317702,-0.0124767339844,19.4291376068,21.9613846133,-2.53224700644,-2.61601987095,3161.0
1984,8,17,14,30,461637055.904,L5,LT51050291984231HAJ00,-0.0291157421409,-0.0176057395286,-0.0190219983724,0.47949234691,-0.65376422238,-0.0176057395286,19.9311280194,22.0995193316,-2.16839131214,-2.24598312352,3133.0
1984,8,17,14,31,461637079.877,L5,LT51050301984231HAJ00,-0.0271419904664,-0.0158972467279,-0.0174099876371,0.477578547743,-0.707339071416,-0.0158972467279,19.8264193439,21.9692357305,-2.14281638663,-2.21736915356,3135.0
1984,9,2,14,31,463019492.824,L5,LT51050301984247HAJ00,-0.00455978119423,0.00559789639413,0.00124857540927,0.428636558455,1.81455262356,0.00559789639413,10.921630787,3.40825676931,7.51337401774,6.90119568169,3.0
1984,9,18,14,31,464401871.424,L5,LT51050291984263HAJ00,0.0257266484224,0.0394507685032,0.0419667243855,0.525820444518,0.386975066577,0.0419667243855,12.999588735,8.691158521,4.30843021397,4.09186804646,58.0
1984,9,18,14,31,464401895.539,L5,LT51050301984263HAJ00,0.0126005560724,0.0242003306061,0.0250221632642,0.511026923293,0.496424192453,0.0250221632642,12.9349797907,8.600842919,4.33413687174,4.1134359953,62.0
1984,10,4,14,31,465784271.177,L5,LT51050291984279HAJ00,-0.0238088954564,-0.00960708006126,-0.0162014726659,0.422610919553,-1.47826554006,-0.00960708006126,12.1781626592,9.27949573661,2.8986669226,2.75010426172,3176.0
1984,10,4,14,31,465784295.293,L5,LT51050301984279HAJ00,-0.023595645588,-0.0101801867482,-0.0174781933036,0.409333371269,-1.31780085882,-0.0101801867482,12.0743079377,9.14954456531,2.92476337242,2.77196412173,3174.0
1985,2,25,14,31,478225891.175,L5,LT51050291985057HAJ00,0.250096060956,0.282029256087,0.324029850638,0.594680647672,0.228169687258,0.324029850638,0.308052095761,-9.81873016759,10.1267822634,8.27930477795,53.0
1985,2,25,14,31,478225915.294,L5,LT51050301985057HAJ00,0.00326223475654,0.047946967266,0.0872529431002,0.577996674889,0.96261175107,0.0872529431002,-0.162139199856,-9.70857127769,9.54643207784,7.79028965976,50.0
1985,3,13,14,31,479608290.223,L5,LT51050291985073HAJ00,0.26103162314,0.285461422573,0.3214014514,0.599221829465,0.187833091598,0.3214014514,5.00685309571,-8.76162197442,13.7684750701,11.5918211322,40.0
1985,3,13,14,31,479608314.2,L5,LT51050301985073HAJ00,0.25536720073,0.278849980471,0.313416819138,0.599245093004,0.185215390061,0.313416819138,5.42313963472,-8.4246950923,13.847834727,11.7027589296,40.0
1985,5,16,14,31,485137871.449,L5,LT51050291985137HAJ00,-0.0114049573273,-0.00149334517636,-0.00752730236,0.398537239423,-6.63718764282,-0.00149334517636,4.48942031792,10.6770706654,-6.18765034747,-5.70544457572,3134.0
1985,5,16,14,31,485137895.572,L5,LT51050301985137HAJ00,-0.00902129225913,0.00097125495873,-0.00542492736366,0.393317453115,10.2882843769,0.00097125495873,4.4967150683,10.6864262314,-6.1897111631,-5.70778186069,3134.0
1985,6,17,14,31,487902669.817,L5,LT51050291985169HAJ00,-0.00469253987074,0.0156514725436,0.0111568403253,0.463178091201,1.29981459301,0.0156514725436,11.5376863748,17.3733717123,-5.83568533742,-5.72086707848,3166.0
1985,6,17,14,31,487902693.798,L5,LT51050301985169HAJ00,-0.00287621103701,0.0177127588169,0.0124889723192,0.457713713259,1.16238074863,0.0177127588169,11.3892670373,17.280742692,-5.89147565478,-5.76954614232,3168.0
1985,7,3,14,31,489285064.633,L5,LT51050291985185HAJ00,-0.00334604521805,0.0181601029925,0.0157290045739,0.48115966347,1.18425254633,0.0181601029925,11.4235352311,12.9481543805,-1.5246191494,-1.46531159887,1865.0
1985,7,3,14,31,489285088.758,L5,LT51050301985185HAJ00,-0.00153068794838,0.0197401204147,0.017409951584,0.481742044535,1.07754197625,0.0197401204147,11.3956532235,12.9205016045,-1.52484838102,-1.46517304368,1858.0
1986,4,1,14,27,512785632.092,L5,LT51050301986092HAJ00,0.0443676510062,0.0856631920917,0.127118981578,0.583494708785,0.650975405438,0.127118981578,7.97032344622,-5.44763007612,13.4179535223,11.653211236,49.0
1986,6,4,14,25,518315108.886,L5,LT51050291986156HAJ00,-0.0206418638593,-0.00360831336467,-0.00559130020993,0.48059724497,-4.72064057999,-0.00360831336467,9.65843554953,17.8665424028,-8.20810685323,-7.99839554583,3182.0
1986,6,4,14,25,518315133.029,L5,LT51050301986156HAJ00,-0.0184955029508,-0.00172858341848,-0.00362113464703,0.481187647251,-9.69980352297,-0.00172858341848,9.24722634516,17.6774479325,-8.43022158737,-8.19339858371,3181.0
1986,7,6,14,24,521079847.128,L5,LT51050291986188HAJ00,0.0856958364078,0.103770257834,0.107805761949,0.530420003809,0.205090387948,0.107805761949,9.2919795144,6.93363076166,2.35834875273,2.18515660355,505.0
1986,7,6,14,24,521079871.274,L5,LT51050301986188HAJ00,0.0845235763004,0.102502275421,0.106126638078,0.527961797684,0.203559277562,0.106126638078,9.41040743081,6.95974343178,2.45066399903,2.27219466854,506.0
1986,9,8,14,21,526609309.109,L5,LT51050291986252HAJ00,-0.0484575113738,-0.0363835947417,-0.0388025322925,0.466609322332,-0.331850569405,-0.0363835947417,16.1720189515,16.5970822189,-0.425063267392,-0.423643062529,3151.0
1986,9,8,14,22,526609333.119,L5,LT51050301986252HAJ00,-0.0432799315537,-0.0314233409603,-0.0339512951133,0.464464852788,-0.377317950006,-0.0314233409603,16.4949158903,16.9014385898,-0.406522699481,-0.406243080111,3152.0
1987,5,6,14,24,547345480.061,L5,LT51050291987127HAJ00,-0.0183672418036,0.00161711568866,-0.0111117265943,0.393843286448,12.3580258558,0.00161711568866,5.72766976651,12.8776441369,-7.14997437036,-6.69703625803,3198.0
1987,5,6,14,25,547345504.094,L5,LT51050301987127HAJ00,-0.0161327785244,0.00335511756259,-0.00890080732499,0.395183444185,5.8084093101,0.00335511756259,5.87601964292,13.0047691757,-7.12874953274,-6.68548268185,3196.0
1987,6,23,14,25,551492749.756,L5,LT51050291987175HAJ00,-0.0208400772243,0.000306984398791,0.00171868619564,0.510429810732,13.1255859721,0.00171868619564,16.8533335893,22.3226095777,-5.4692759884,-5.59906253865,3159.0
1987,6,23,14,26,551492773.796,L5,LT51050301987175HAJ00,-0.0217350876365,-0.00098119247698,0.000254897799882,0.509368584929,86.269812633,0.000254897799882,16.6815797432,22.194050007,-5.51247026385,-5.63629153463,3159.0
1988,5,24,14,31,580523491.16,L5,LT51050291988146HAJ00,0.000485792776444,0.0168025259169,0.00820422966109,0.412173021178,0.971088110273,0.0168025259169,6.02748712705,9.81924606282,-3.79175893577,-3.50720651003,3192.0
1988,5,24,14,31,580523515.098,L5,LT51050301988146HAJ00,-0.00223362852427,0.0135872067521,0.00460222178024,0.405346495988,1.16439203179,0.0135872067521,5.93133500241,9.73817645278,-3.80684145037,-3.51829586994,3194.0
