year,month,day,hour,minute,timestamp,satellite,fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size
1990,6,30,20,29,646813742.788,L5,LT51620681990182JSA00,0.0180139431146,0.0216788706596,0.0277984712903,0.604239409416,0.35198080044,0.0277984712903,9.71971132666,11.6073834064,-1.88767207971,-1.78988084884,409.0
1995,2,4,20,20,791965239.496,L5,LT51620681995036XXX00,0.0252798375135,0.0302671166762,0.036059615448,0.589558102944,0.298943230553,0.036059615448,17.1358124894,14.9520069026,2.18380558684,2.17021281191,646.0
1995,3,24,20,18,796112322.232,L5,LT51620681995084AAA01,0.0224178695645,0.0265249492579,0.0336109089582,0.605511402385,0.333018051002,0.0336109089582,19.1905255143,14.3853988141,4.80512670023,4.80544987664,581.0
1999,10,5,21,1,939193316.131,L7,LE71620681999279AGS00,-0.383277074078,-0.423410236348,-0.462731059896,0.0824813321061,-0.207301691625,-0.383277074078,27.4337759292,19.0313430371,8.40243289217,8.85995103938,171.0
1999,10,12,21,8,939798484.855,L7,LE71630681999286EDC00,-0.364150959904,-0.417164351185,-0.457783454586,0.0723023624414,-0.257125491876,-0.364150959904,40.2318281656,16.779688733,23.4521394327,25.7635069432,6.0
2000,2,1,21,7,949475271.662,L7,LE71630682000033SGS01,-0.419653587694,-0.466080227746,-0.52030273573,0.0897879896684,-0.239838645462,-0.419653587694,21.7167699621,22.8462063751,-1.12943641298,-1.18190975991,240.0
2000,3,13,21,1,953017287.195,L7,LE71620682000074SGS00,0.0252379407645,0.0319551243418,0.0383437322931,0.581244081257,0.341797491919,0.0383437322931,23.6306180813,13.0322058509,10.5984122304,10.7372231063,282.0
2000,5,16,21,0,958546859.628,L7,LE71620682000138SGS00,0.0135273135402,0.0165036684139,0.0198081305191,0.587686631542,0.317082774311,0.0198081305191,17.4939615457,19.8650624414,-2.37110089566,-2.40918629987,285.0
2000,8,20,20,59,966841194.979,L7,LE71620682000234SGS00,0.0166093409804,0.0198129846822,0.0236891916531,0.591249734636,0.298864173012,0.0236891916531,16.9168111536,18.4997946479,-1.58298349436,-1.5954167978,247.0
2000,10,7,20,59,970988356.671,L7,LE71620682000282SGS00,0.0263250018015,0.0339187936239,0.0346951144612,0.515458191721,0.241247587439,0.0346951144612,24.3885859787,22.330229576,2.05835640271,2.17267493909,142.0
