year,month,day,hour,minute,timestamp,satellite,fileID,red,green,blue,H,S,V,BT_lake,BT_bkgd,dBT,dT_surface,lake_size
1987,9,12,15,25,558494752.85,L5,LT51120661987256ASA00,0.0504001093867,0.104274523096,0.103891549364,0.498815226916,0.516659411233,0.104274523096,22.4456538639,18.9099440663,3.53570979762,3.65215309501,321.0
1987,10,14,15,26,561259592.719,L5,LT51120661987288ASA00,0.0961321408177,0.144909722054,0.145573298886,0.502236924516,0.339630677098,0.145573298886,21.1247067254,17.8775648862,3.24714183913,3.32183100626,281.0
1987,10,30,15,26,562642008.894,L5,LT51120661987304ASA00,0.0641807702612,0.126390150576,0.12699220113,0.501597507934,0.494608568952,0.12699220113,25.478694572,23.1243700168,2.35432455516,2.50374737062,316.0
1987,12,1,15,27,565406846.207,L5,LT51120661987336ASA00,0.122446599718,0.147623727025,0.15911054226,0.552216675926,0.230430630312,0.15911054226,14.1587329367,11.6512396066,2.50749333015,2.42523275512,14.0
1987,12,17,15,27,566789260.035,L5,LT51120661987352ASA00,0.0930523920027,0.117840296231,0.122038561259,0.524139472583,0.237516478049,0.122038561259,10.367692999,9.77583406421,0.591858934837,0.558227702621,13.0
1988,1,2,15,27,568171675.596,L5,LT51120661988003ASA00,0.0208796608044,0.0402304232931,0.0439523490064,0.526885508389,0.524947783761,0.0439523490064,20.5981583481,18.3734456645,2.22471268364,2.27559934218,272.0
1988,2,19,15,28,572318925.994,L5,LT51120661988051ASA00,0.096941799577,0.124675342423,0.139032355626,0.556849701179,0.302739285827,0.139032355626,15.4771702598,12.9021838714,2.57498638843,2.51853607323,68.0
1988,3,6,15,28,573701335.955,L5,LT51120661988067ASA00,0.0386591746506,0.0472998741719,0.0498340973892,0.537796282454,0.224242503108,0.0498340973892,19.5441580612,15.7272200454,3.81693801584,3.8445646735,33.0
1988,8,29,15,29,588907792.689,L5,LT51120661988243ASA00,0.0483544240495,0.0552483313446,0.0549690180869,0.493247340352,0.124780371232,0.0552483313446,15.1518673378,15.1267228905,0.0251444473382,0.0247954331749,1.0
1988,9,14,15,29,590290189.636,L5,LT51120661988259ASA00,0.0585483297764,0.131918206143,0.139420942064,0.515462045203,0.580060721801,0.139420942064,15.1343699006,12.0369030624,3.09746683812,3.01371291447,211.0
1988,9,30,15,29,591672583.487,L5,LT51120661988275ASA00,0.0488544460682,0.10246062592,0.10955188428,0.51947160256,0.554051978299,0.10955188428,22.8907246969,20.257456525,2.63326817187,2.73990251436,301.0
1988,10,16,15,29,593054978.722,L5,LT51120661988291ASA00,0.0411865389473,0.0506687070271,0.0555396655873,0.55656094641,0.258430195577,0.0555396655873,18.2715231558,16.8711244903,1.40039866547,1.40977618296,107.0
1988,11,17,15,29,595819779.711,L5,LT51120661988323ASA00,0.0369491060153,0.0477774301466,0.0434046970857,0.432696063154,0.226640991323,0.0477774301466,10.2009743544,6.69118112179,3.50979323265,3.26196231311,2.0
1988,12,3,15,29,597202176.784,L5,LT51120661988339ASA00,0.00713852829912,0.0405112300632,0.0436660062442,0.514394534191,0.836519780188,0.0436660062442,15.3862000571,10.3132775475,5.07292250964,4.90411395026,181.0
1988,12,19,15,29,598584564.529,L5,LT51120661988355ASA00,0.152602469552,0.187738902536,0.193718777038,0.524239670615,0.212247403759,0.193718777038,13.3631803698,10.2178544696,3.14532590018,3.01243108158,13.0
1988,12,27,15,31,599275866.495,L4,LT41120661988363XXX02,0.0531800009166,0.103138988113,0.120065909137,0.542178593056,0.557076598186,0.120065909137,15.8839061007,11.8687991838,4.0151069169,3.91642459972,137.0
1989,1,20,15,29,601349343.857,L5,LT51120661989021ASA00,0.0475602238308,0.0942550609491,0.0933448667832,0.496751267656,0.495409335564,0.0942550609491,23.1111548613,18.647899457,4.46325540431,4.61783368425,249.0
1989,2,5,15,29,602731746.99,L5,LT51120661989037ASA00,0.0272775781488,0.0526242984518,0.0602583588597,0.538578328769,0.547322916438,0.0602583588597,14.5795501952,11.7144143875,2.86513580769,2.77701668618,97.0
1989,3,25,15,28,606878881.263,L5,LT51120661989085ASA00,0.0140752463073,0.0896829901778,0.0479435634485,0.407991288122,0.843055564055,0.0896829901778,-0.908925484595,0.221143596318,-1.13006908091,-0.966047797622,15.0
1989,4,2,15,32,607570327.324,L4,LT41120661989093XXX02,0.247677412279,0.300108887176,0.298944828424,0.496299745668,0.174708171394,0.300108887176,6.02576018164,6.69230596142,-0.666545779774,-0.607680183371,5.0
1989,4,10,15,28,608261293.594,L5,LT51120661989101ASA00,0.0377744814846,0.0948381361186,0.0812902871519,0.460430595582,0.60169523537,0.0948381361186,22.3281089036,17.7297240529,4.59838485068,4.72463360326,315.0
1989,5,12,15,27,611026059.186,L5,LT51120661989133ASA00,0.0395837078996,0.0975876519613,0.0900727083503,0.478406802812,0.594377904335,0.0975876519613,23.8171302041,18.2814058686,5.53572433552,5.73535672538,328.0
1989,6,29,15,26,615173206.902,L5,LT51120661989181ASA00,0.231733264022,0.282208182868,0.269665088005,0.458583077332,0.17885703502,0.282208182868,6.31748135341,3.13605379433,3.18142755907,2.85641480148,12.0
1989,9,1,15,25,620702725.552,L5,LT51120661989245ASA00,0.0511273883489,0.106312258354,0.0952981826363,0.46673582295,0.51908284952,0.106312258354,22.4557836222,17.8352131953,4.62057042684,4.7519750573,335.0
